name,full_name,team,position,price,total_points,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,xGI,xGC,form,points_per_game,selected_by_percent,status,chance_of_playing,news
Tel,Mathys Tel,Spurs,MID,6.2,42,461,3,1,1,8,0,0,0,0,0,0,5,137,135.6,81.7,103.0,32.2,0.6,0.5,1.1,5.0,2.6,3.0,0.2,a,,
Bentancur,Rodrigo Bentancur,Spurs,MID,5.3,64,1407,1,1,5,21,0,0,0,5,0,0,3,269,268.6,159.7,85.0,51.6,0.45,0.68,1.13,20.56,3.6,3.2,0.2,i,0.0,Hamstring injury - Unknown return date
Bergvall,Lucas Bergvall,Spurs,MID,5.3,38,798,1,2,3,12,0,0,0,2,0,0,0,133,133.4,77.4,127.0,33.9,0.96,0.31,1.27,9.31,1.4,2.4,0.2,d,75.0,Knock - 75% chance of playing
Bissouma,Yves Bissouma,Spurs,MID,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,100.0,
Odobert,Wilson Odobert,Spurs,MID,5.3,33,706,0,1,2,10,0,0,0,0,0,0,3,118,97.6,175.2,120.0,39.2,0.97,0.75,1.72,8.16,1.8,1.7,0.0,a,100.0,
Solomon,Manor Solomon,Spurs,MID,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Fiorentina on loan for the rest of the season.
Bryan,Bryan Gil Salvatierra,Spurs,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Girona permanently.
Gray,Archie Gray,Spurs,MID,4.8,27,600,1,0,5,7,0,0,0,3,0,0,3,95,91.0,44.6,78.0,21.3,0.68,0.12,0.8,6.65,3.8,2.5,0.1,a,100.0,
Moore,Mikey Moore,Spurs,MID,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,Has joined Rangers on loan for the rest of the season.
P.M.Sarr,Pape Matar Sarr,Spurs,MID,4.5,42,703,2,2,3,7,0,0,0,0,0,0,0,161,154.6,84.7,94.0,33.4,1.04,0.45,1.49,12.7,0.0,3.0,0.8,n,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Expected back 24 Jan
